Date : 2022-12-26 20:32:45
Directory : c:\Users\ferna\Documents\Desarrollo\SIMR
Total : 517 files,  81252 codes, 26362 comments, 11502 blanks, all 119116 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\ferna\Documents\Desarrollo\SIMR\config\passport.js                                                            | JavaScript |         18 |          2 |          5 |         25 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\config\strategies\google.js                                                   | JavaScript |         29 |          0 |          3 |         32 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\config\strategies\local.js                                                    | JavaScript |         25 |          1 |          1 |         27 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\package-lock.json                                                             | JSON       |      5,101 |          0 |          1 |      5,102 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\package.json                                                                  | JSON       |         42 |          0 |          1 |         43 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\actores.client.module.js                                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\config\actores.client.routes.js                                | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\controllers\actores.client.controller.js                       | JavaScript |        734 |         67 |         40 |        841 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\services\actores.client.service.js                             | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\views\create-actor.client.view.html                            | HTML       |        315 |         34 |         41 |        390 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\views\edit-actor.client.view.html                              | HTML       |        317 |         33 |         37 |        387 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\views\list-actor.client.view.html                              | HTML       |         57 |          5 |          9 |         71 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\actores\views\view-actor.client.view.html                              | HTML       |         55 |          5 |         13 |         73 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\application.js                                                         | JavaScript |         31 |          0 |          3 |         34 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\colecciones.client.module.js                               | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\config\colecciones.client.routes.js                        | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\controllers\colecciones.client.controller.js               | JavaScript |        234 |         37 |         22 |        293 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\services\colecciones.client.service.js                     | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\views\create-coleccion.client.view.html                    | HTML       |        120 |         13 |         21 |        154 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\views\edit-coleccion.client.view.html                      | HTML       |        123 |         13 |         10 |        146 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\views\list-coleccion.client.view.html                      | HTML       |         64 |          5 |         12 |         81 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\views\view-coleccion.client.view.html                      | HTML       |         43 |          5 |          6 |         54 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\config\diccionarios.client.routes.js                      | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\controllers\diccionarios.client.controller.js             | JavaScript |        149 |         41 |         13 |        203 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\diccionarios.client.module.js                             | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\services\diccionarios.client.service.js                   | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\views\create-diccionario.client.view.html                 | HTML       |        117 |         14 |          7 |        138 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\views\edit-diccionario.client.view.html                   | HTML       |        118 |         14 |          7 |        139 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\views\list-diccionario.client.view.html                   | HTML       |         64 |          5 |          9 |         78 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\views\view-diccionario.client.view.html                   | HTML       |         43 |          5 |          5 |         53 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\config\ejemplares.client.routes.js                          | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\controllers\ejemplares.client.controller.js                 | JavaScript |        314 |         37 |         25 |        376 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\ejemplares.client.module.js                                 | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\services\ejemplares.client.service.js                       | JavaScript |         10 |          3 |          2 |         15 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\views\create-ejemplar.client.view.html                      | HTML       |        234 |         24 |         35 |        293 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\views\edit-ejemplar.client.view.html                        | HTML       |        235 |         24 |         35 |        294 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\views\list-ejemplar.client.view.html                        | HTML       |         73 |          5 |         12 |         90 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\views\view-ejemplar.client.view.html                        | HTML       |         51 |          5 |          9 |         65 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\example\config\example.client.routes.js                                | JavaScript |         17 |          0 |          0 |         17 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\example\controllers\example.client.controller.js                       | JavaScript |         17 |          2 |          1 |         20 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\example\example.client.module.js                                       | JavaScript |          1 |          0 |          2 |          3 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\example\views\example.client.view.html                                 | HTML       |        116 |         26 |         12 |        154 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\config\fondos.client.routes.js                                  | JavaScript |         18 |          1 |          0 |         19 |
| c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\controllers\fondos.client.controller.js                         | JavaScript |        248 |         35 |         26 |        309 |
