"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "Less", "SCSS", "YAML", "XML", "comment", "blank", "total"
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\views\edit-coleccion.client.view.html", "HTML", 0, 0, 0, 123, 0, 0, 0, 0, 0, 13, 10, 146
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\views\list-coleccion.client.view.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 0, 5, 12, 81
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\colecciones\views\view-coleccion.client.view.html", "HTML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 6, 54
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\config\diccionarios.client.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\controllers\diccionarios.client.controller.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 0, 0, 41, 13, 203
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\diccionarios.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\services\diccionarios.client.service.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\views\create-diccionario.client.view.html", "HTML", 0, 0, 0, 117, 0, 0, 0, 0, 0, 14, 7, 138
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\views\edit-diccionario.client.view.html", "HTML", 0, 0, 0, 118, 0, 0, 0, 0, 0, 14, 7, 139
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\views\list-diccionario.client.view.html", "HTML", 0, 0, 0, 64, 0, 0, 0, 0, 0, 5, 9, 78
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\diccionarios\views\view-diccionario.client.view.html", "HTML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 5, 53
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\config\ejemplares.client.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\controllers\ejemplares.client.controller.js", "JavaScript", 314, 0, 0, 0, 0, 0, 0, 0, 0, 37, 25, 376
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\ejemplares.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\services\ejemplares.client.service.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\views\create-ejemplar.client.view.html", "HTML", 0, 0, 0, 234, 0, 0, 0, 0, 0, 24, 35, 293
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\views\edit-ejemplar.client.view.html", "HTML", 0, 0, 0, 235, 0, 0, 0, 0, 0, 24, 35, 294
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\views\list-ejemplar.client.view.html", "HTML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 5, 12, 90
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\ejemplares\views\view-ejemplar.client.view.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 9, 65
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\example\config\example.client.routes.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\example\controllers\example.client.controller.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 20
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\example\example.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\example\views\example.client.view.html", "HTML", 0, 0, 0, 116, 0, 0, 0, 0, 0, 26, 12, 154
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\config\fondos.client.routes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 19
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\controllers\fondos.client.controller.js", "JavaScript", 248, 0, 0, 0, 0, 0, 0, 0, 0, 35, 26, 309
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\fondos.client.module.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\services\fondos.client.service.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\views\create-fondo.client.view.html", "HTML", 0, 0, 0, 124, 0, 0, 0, 0, 0, 14, 10, 148
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\views\edit-fondo.client.view.html", "HTML", 0, 0, 0, 124, 0, 0, 0, 0, 0, 15, 9, 148
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\views\list-fondo.client.view.html", "HTML", 0, 0, 0, 62, 0, 0, 0, 0, 0, 5, 11, 78
"c:\Users\ferna\Documents\Desarrollo\SIMR\public\fondos\views\view-fondo.client.view.html", "HTML", 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 6, 54
